upstream_path	upstream_sha256	line	case_id	parameter	baseline_disposition	case_evidence	allocation	owner_or_proposed_task	evidence_candidate
packages/coding-agent/test/suite/regressions/2835-tools-allowlist-filters-extension-tools.test.ts	sha256:399e5369a79209f30f15e530f940a61230b876bed587b8287eb58520b40b138b	85	regression #2835: tool allowlists filter extension tools › disables all tools when the allowlist is empty		partial	unverified-case	existing-task-reference	next-virtual-modules	coding/session_test.go#TestNewSessionAllowedToolsFiltersDefaultsAndExtras; coding/session_test.go#TestNewSessionAllowedToolsEmptyBlocksAll
packages/coding-agent/test/suite/regressions/2860-replaced-session-context.test.ts	sha256:7c5bd69d6bb018d7d8c064d78554e437fb42fe3fd81465a5867a9c6345ff6d97	147	regression #2860: replaced session callbacks › rebinds before withSession, targets the replacement session, and invalidates stale pi/ctx		pending	unverified-case	existing-task-reference	next-session-runtime	-
packages/coding-agent/test/suite/regressions/2860-replaced-session-context.test.ts	sha256:7c5bd69d6bb018d7d8c064d78554e437fb42fe3fd81465a5867a9c6345ff6d97	211	regression #2860: replaced session callbacks › supports withSession for fork		pending	unverified-case	existing-task-reference	next-session-runtime	-
packages/coding-agent/test/suite/regressions/2860-replaced-session-context.test.ts	sha256:7c5bd69d6bb018d7d8c064d78554e437fb42fe3fd81465a5867a9c6345ff6d97	243	regression #2860: replaced session callbacks › supports withSession for switchSession		pending	unverified-case	existing-task-reference	next-session-runtime	-
packages/coding-agent/test/suite/regressions/3217-scoped-model-order.test.ts	sha256:870cffdb8209b928d8ed49785086924bbfd6f06dd0168aa968dcfa822dde45d8	34	issue #3217 scoped model ordering › propagates reordered scoped models back to the session state		ported	existing-ported-rerun	preserved-ported	integrator	tui/scoped_models_list_test.go#TestScopedModels_ReorderUpDown; tui/model_select_test.go#TestModelSelector_ScopedModelsKeepConfiguredOrder
packages/coding-agent/test/suite/regressions/3217-scoped-model-order.test.ts	sha256:870cffdb8209b928d8ed49785086924bbfd6f06dd0168aa968dcfa822dde45d8	65	issue #3217 scoped model ordering › preserves scoped model order in the /model scoped tab		ported	existing-ported-rerun	preserved-ported	integrator	tui/scoped_models_list_test.go#TestScopedModels_ReorderUpDown; tui/model_select_test.go#TestModelSelector_ScopedModelsKeepConfiguredOrder
packages/coding-agent/test/suite/regressions/3302-find-path-glob.test.ts	sha256:d9bb34b773d7865109e41ac09146fa3c2c670cc594bb5a350e2d8e30230939db	50	issue #3302 find returns no results for path-based glob patterns › basename pattern still matches (regression-safe)		pending	mutation-proven-test-port	new-test-port	next-regression-inventory	internal/codingagent/tools/find_regressions_test.go#TestFindPathGlobRegression/basename_pattern_still_matches
packages/coding-agent/test/suite/regressions/3302-find-path-glob.test.ts	sha256:d9bb34b773d7865109e41ac09146fa3c2c670cc594bb5a350e2d8e30230939db	55	issue #3302 find returns no results for path-based glob patterns › directory-prefixed pattern with ** tail matches subtree		pending	mutation-proven-test-port	new-test-port	next-regression-inventory	internal/codingagent/tools/find_regressions_test.go#TestFindPathGlobRegression/directory-prefixed_pattern_with_globstar_tail
packages/coding-agent/test/suite/regressions/3302-find-path-glob.test.ts	sha256:d9bb34b773d7865109e41ac09146fa3c2c670cc594bb5a350e2d8e30230939db	62	issue #3302 find returns no results for path-based glob patterns › leading ** wildcard with path segments matches		pending	mutation-proven-test-port	new-test-port	next-regression-inventory	internal/codingagent/tools/find_regressions_test.go#TestFindPathGlobRegression/leading_globstar_with_path_segments
packages/coding-agent/test/suite/regressions/3302-find-path-glob.test.ts	sha256:d9bb34b773d7865109e41ac09146fa3c2c670cc594bb5a350e2d8e30230939db	68	issue #3302 find returns no results for path-based glob patterns › src/**/*.spec.ts matches nested spec file		pending	mutation-proven-test-port	new-test-port	next-regression-inventory	internal/codingagent/tools/find_regressions_test.go#TestFindPathGlobRegression/nested_spec_file
packages/coding-agent/test/suite/regressions/3303-find-nested-gitignore.test.ts	sha256:40748b486bf64c9feaacb3e0f411ffec5fdc145cca3dad0f62c680e0673b959f	52	issue #3303 nested .gitignore rules leak into sibling directories › flat sibling case › applies a/.gitignore only inside a/ and leaves b/ untouched		pending	mutation-proven-test-port	new-test-port	next-regression-inventory	internal/codingagent/tools/find_regressions_test.go#TestFindNestedGitignoreRegression/flat_sibling
packages/coding-agent/test/suite/regressions/3303-find-nested-gitignore.test.ts	sha256:40748b486bf64c9feaacb3e0f411ffec5fdc145cca3dad0f62c680e0673b959f	75	issue #3303 nested .gitignore rules leak into sibling directories › deeply nested case › scopes each .gitignore to its own subtree		pending	mutation-proven-test-port	new-test-port	next-regression-inventory	internal/codingagent/tools/find_regressions_test.go#TestFindNestedGitignoreRegression/deeply_nested
packages/coding-agent/test/suite/regressions/3317-network-connection-lost-retry.test.ts	sha256:284f28f007e337c75709cfd54593295ea0fcbacdd4bb2bce83ee1b165b73f663	14	"issue #3317 network connection lost retry › retries transient ""Network connection lost."" failures"		pending	unverified-case	proposal	next-regression-session-retry	-
packages/coding-agent/test/suite/regressions/3592-no-builtin-tools-keeps-extension-tools.test.ts	sha256:6357fd4fcd5c33ef20451c7edbf1a885388aa832dbc3a76f2c84eef43172db39	73	regression #3592: no-builtin-tools keeps extension tools enabled › keeps extension tools active when built-in defaults are disabled		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/3592-no-builtin-tools-keeps-extension-tools.test.ts	sha256:6357fd4fcd5c33ef20451c7edbf1a885388aa832dbc3a76f2c84eef43172db39	89	regression #3592: no-builtin-tools keeps extension tools enabled › still disables all tools when noTools is all		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/3592-no-builtin-tools-keeps-extension-tools.test.ts	sha256:6357fd4fcd5c33ef20451c7edbf1a885388aa832dbc3a76f2c84eef43172db39	98	regression #3592: no-builtin-tools keeps extension tools enabled › propagates noTools through service-based session creation		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/3616-settings-inmemory-reload.test.ts	sha256:f70380b8bfa385cf648745405522b92378b9c73d039879995337973dddc167ba	24	regression #3616: in-memory settings survive reload › preserves initial settings after direct reload		pending	unverified-case	proposal	next-regression-settings-reload	-
packages/coding-agent/test/suite/regressions/3616-settings-inmemory-reload.test.ts	sha256:f70380b8bfa385cf648745405522b92378b9c73d039879995337973dddc167ba	43	regression #3616: in-memory settings survive reload › preserves initial settings when DefaultResourceLoader reloads		pending	unverified-case	proposal	next-regression-settings-reload	-
packages/coding-agent/test/suite/regressions/3616-settings-inmemory-reload.test.ts	sha256:f70380b8bfa385cf648745405522b92378b9c73d039879995337973dddc167ba	67	regression #3616: in-memory settings survive reload › preserves initial settings after an unrelated setter, flush, and reload		pending	unverified-case	proposal	next-regression-settings-reload	-
packages/coding-agent/test/suite/regressions/3686-session-name-event.test.ts	sha256:71fca90399b614893741b8e0bc28dd976b20134939cd5d44997bd4e02cb25f7c	14	regression #3686: session name changes emit an event › emits session_info_changed when AgentSession.setSessionName is called		partial	unverified-case	proposal	next-regression-session-names	internal/codingagent/event_bridge_test.go#TestEmitSessionInfoChanged_BridgesPayload
packages/coding-agent/test/suite/regressions/3686-session-name-event.test.ts	sha256:71fca90399b614893741b8e0bc28dd976b20134939cd5d44997bd4e02cb25f7c	24	regression #3686: session name changes emit an event › emits session_info_changed when an extension calls pi.setSessionName		partial	unverified-case	proposal	next-regression-session-names	internal/codingagent/event_bridge_test.go#TestEmitSessionInfoChanged_BridgesPayload
packages/coding-agent/test/suite/regressions/3686-session-name-event.test.ts	sha256:71fca90399b614893741b8e0bc28dd976b20134939cd5d44997bd4e02cb25f7c	41	regression #3686: session name changes emit an event › emits session_info_changed to extensions		partial	unverified-case	proposal	next-regression-session-names	internal/codingagent/event_bridge_test.go#TestEmitSessionInfoChanged_BridgesPayload
packages/coding-agent/test/suite/regressions/3688-tree-cancel-compacting.test.ts	sha256:22b3ba0b21f63194979e1178f0d04b5c07977bb0fe1ed157db3ebd0743d0ca65	14	issue #3688 tree cancellation compaction state › clears branch summary state when session_before_tree cancels navigation		pending	unverified-case	proposal	next-regression-tree-guards	-
packages/coding-agent/test/suite/regressions/3982-message-end-cost-override.test.ts	sha256:6ab24cf7cac37f88ef18ad946f3ea32f35e5d6b70bd578d91d42a71ac54a6e8e	14	regression #3982: message_end cost override › allows extensions to replace finalized assistant usage cost		pending	unverified-case	proposal	next-regression-event-order	-
packages/coding-agent/test/suite/regressions/4167-thinking-toggle-pending-tool-render.test.ts	sha256:e3711508935868a33367513f344aca4470467cff47b58ce2b9783a6e2644a6a0	147	InteractiveMode.renderSessionEntries › keeps unresolved rendered tool calls registered for live completion events		pending	unverified-case	proposal	next-regression-pending-render	-
packages/coding-agent/test/suite/regressions/4167-thinking-toggle-pending-tool-render.test.ts	sha256:e3711508935868a33367513f344aca4470467cff47b58ce2b9783a6e2644a6a0	170	InteractiveMode.renderSessionEntries › does not keep completed historical tool calls registered as pending		pending	unverified-case	proposal	next-regression-pending-render	-
packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts	sha256:3d8757525011c1294b87ad8615e153e99b04a5e7fd5a17dbba339aef1b16c6e3	110	InteractiveMode.shutdown ordering (#5080) › signal-triggered shutdown emits session_shutdown before terminal writes		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts	sha256:3d8757525011c1294b87ad8615e153e99b04a5e7fd5a17dbba339aef1b16c6e3	123	InteractiveMode.shutdown ordering (#5080) › interactive quit stops the TUI before emitting session_shutdown		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts	sha256:3d8757525011c1294b87ad8615e153e99b04a5e7fd5a17dbba339aef1b16c6e3	135	InteractiveMode.shutdown ordering (#5080) › interactive quit prints a resume hint for persisted sessions		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts	sha256:3d8757525011c1294b87ad8615e153e99b04a5e7fd5a17dbba339aef1b16c6e3	154	InteractiveMode.shutdown ordering (#5080) › signal-triggered shutdown does not print a resume hint		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts	sha256:3d8757525011c1294b87ad8615e153e99b04a5e7fd5a17dbba339aef1b16c6e3	172	InteractiveMode.shutdown ordering (#5080) › re-entrant shutdown is a no-op		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5109-exclude-tools.test.ts	sha256:3fa0f1a92fd7fb8a5a72c64bdc4ce86959e98b1fdc9a5dfe046f02600f8dcef1	40	regression #5109: exclude tools › filters built-in and extension tools from available and active tools		pending	unverified-case	proposal	next-regression-tool-exclusions	-
packages/coding-agent/test/suite/regressions/5109-exclude-tools.test.ts	sha256:3fa0f1a92fd7fb8a5a72c64bdc4ce86959e98b1fdc9a5dfe046f02600f8dcef1	62	regression #5109: exclude tools › lets excluded tools override the allowlist		pending	unverified-case	proposal	next-regression-tool-exclusions	-
packages/coding-agent/test/suite/regressions/5208-late-bash-output.test.ts	sha256:9d6fc0d457e6d7470246d821deec9937d428e86fdad6858d05e7d5c956802f8c	14	regression #5208: late bash output callbacks › ignores output callbacks after bash operations resolve		pending	unverified-case	proposal	next-regression-bash-operations	-
packages/coding-agent/test/suite/regressions/5217-compaction-reason.test.ts	sha256:376c9329976962af494917b8f066d504391a793653739593738b6303aa9278b5	55	issue #5217 compaction reason on extension events › reports manual reason for compact()		partial	unverified-case	proposal	next-regression-compaction-retry	coding/session_test.go#TestCompact_ExtensionOverrideAndLifecycle; coding/session_test.go#TestAutoCompaction_ExtensionLifecycleMetadata; coding/session_test.go#TestCheckCompactionOverflow
packages/coding-agent/test/suite/regressions/5217-compaction-reason.test.ts	sha256:376c9329976962af494917b8f066d504391a793653739593738b6303aa9278b5	68	issue #5217 compaction reason on extension events › reports threshold reason for auto-compaction		partial	unverified-case	proposal	next-regression-compaction-retry	coding/session_test.go#TestCompact_ExtensionOverrideAndLifecycle; coding/session_test.go#TestAutoCompaction_ExtensionLifecycleMetadata; coding/session_test.go#TestCheckCompactionOverflow
packages/coding-agent/test/suite/regressions/5217-compaction-reason.test.ts	sha256:376c9329976962af494917b8f066d504391a793653739593738b6303aa9278b5	82	issue #5217 compaction reason on extension events › reports overflow reason and willRetry for overflow recovery		partial	unverified-case	proposal	next-regression-compaction-retry	coding/session_test.go#TestCompact_ExtensionOverrideAndLifecycle; coding/session_test.go#TestAutoCompaction_ExtensionLifecycleMetadata; coding/session_test.go#TestCheckCompactionOverflow
packages/coding-agent/test/suite/regressions/5303-bash-output-truncation.test.ts	sha256:d38754f1abadb955553f0d2ce3276f580fb07ca9b937e0d4abe3b6226d2e3b87	39	issue #5303 bash output truncation past exit › captures output emitted after exit while a descendant holds stdout open		pending	unverified-case	proposal	next-regression-bash-process	-
packages/coding-agent/test/suite/regressions/5303-bash-output-truncation.test.ts	sha256:d38754f1abadb955553f0d2ce3276f580fb07ca9b937e0d4abe3b6226d2e3b87	66	issue #5303 bash output truncation past exit › resolves after the grace when a descendant holds stdout open but stays quiet		pending	unverified-case	proposal	next-regression-bash-process	-
packages/coding-agent/test/suite/regressions/5433-extension-oauth-prompt-input.test.ts	sha256:9ce8881c1d2f5454449993c4382aea2fecfe583f75f51f545b8e3ad3c4445389	40	LoginDialogComponent OAuth prompts › keeps previous prompt input stable when a later prompt is active		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5433-extension-oauth-prompt-input.test.ts	sha256:9ce8881c1d2f5454449993c4382aea2fecfe583f75f51f545b8e3ad3c4445389	61	LoginDialogComponent OAuth prompts › preserves auth instructions when showing a prompt		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5433-extension-oauth-prompt-input.test.ts	sha256:9ce8881c1d2f5454449993c4382aea2fecfe583f75f51f545b8e3ad3c4445389	73	LoginDialogComponent OAuth prompts › preserves neutral information and links when showing a prompt		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5433-extension-oauth-prompt-input.test.ts	sha256:9ce8881c1d2f5454449993c4382aea2fecfe583f75f51f545b8e3ad3c4445389	87	LoginDialogComponent OAuth prompts › preserves setup details when showing a prompt		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5433-extension-oauth-prompt-input.test.ts	sha256:9ce8881c1d2f5454449993c4382aea2fecfe583f75f51f545b8e3ad3c4445389	99	LoginDialogComponent OAuth prompts › keeps previous manual input stable when a later prompt is active		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/5596-missing-theme-export.test.ts	sha256:358e48a430ee9e06e94e2d4d040447d0aab4cf751f6020d8820455b398ebb692	26	regression #5596: missing configured theme export › exports with the active fallback theme when the configured theme is missing		pending	unverified-case	proposal	next-regression-theme-failures	-
packages/coding-agent/test/suite/regressions/5661-uppercase-header-values.test.ts	sha256:0ffc9a48b0f980339bd8748d7064ea2e832e7a817441de29f68ad94695ac7149	33	regression #5661: uppercase models.json header values › keeps uppercase header strings as literals during startup migrations		pending	unverified-case	proposal	next-regression-resources	-
packages/coding-agent/test/suite/regressions/5724-sigterm-signal-exit.test.ts	sha256:914334ad9376b15ddf30e0d9f5e2576955bf66f3602aed557216b47ae6a968ef	52	InteractiveMode SIGTERM shutdown with signal-exit (#5724) › keeps signal handlers registered while signal-triggered cleanup is pending		pending	unverified-case	proposal	next-regression-signal-exit	-
packages/coding-agent/test/suite/regressions/5868-rpc-unknown-command-id.test.ts	sha256:8d820e03ede2d75f422a26ff68c060e58c79e34d2e22a76fb6961c39448ad3c0	89	RPC unknown command responses (#5868) › preserves the request id on unknown command errors		pending	unverified-case	proposal	next-regression-rpc-id	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	256	regression #5943: session_start transient UI › renders loaded resources before restored messages without stale entries		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	276	regression #5943: session_start transient UI › renders replacement session state before session_start handlers can notify		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	313	regression #5943: session_start transient UI › subscribes before replacement session_start handlers send messages		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	368	regression #5943: session_start transient UI › subscribes before replacement session_start handlers send user messages		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	418	regression #5943: session_start transient UI › runs the reload render hook before reload session_start handlers can notify		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	451	regression #5943: session_start transient UI › refreshes hideThinkingBlock before rebuilding chat during reload		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5943-session-start-notify.test.ts	sha256:95b1525ebdc048e4723ef5e9b72dfd20db8593aa252d9f4b2085ba77ccaa5b9d	475	regression #5943: session_start transient UI › keeps the reload blocker focused until async reload completes		pending	unverified-case	proposal	next-regression-reload-ui	-
packages/coding-agent/test/suite/regressions/5996-session-name-newlines.test.ts	sha256:2d95a395a3ef2bbe1847908b0066dd3745ef691685e07b29bf6520f3ff8a65a4	14	regression #5996: session names do not contain newlines › filters newlines when AgentSession.setSessionName is called		pending	unverified-case	proposal	next-regression-session-names	-
packages/coding-agent/test/suite/regressions/5996-session-name-newlines.test.ts	sha256:2d95a395a3ef2bbe1847908b0066dd3745ef691685e07b29bf6520f3ff8a65a4	24	regression #5996: session names do not contain newlines › filters newlines when an extension calls pi.setSessionName		pending	unverified-case	proposal	next-regression-session-names	-
packages/coding-agent/test/suite/regressions/5998-blocked-tool-terminate.test.ts	sha256:8560a8386290a19136f646f4afd169cc9c5dadc139b732ab3ec5852aee223273	16	#5998 blocked tool termination › lets a tool_call handler terminate the run after blocking execution		pending	unverified-case	proposal	next-regression-preflight-abort	-
packages/coding-agent/test/suite/regressions/6019-explicit-provider-retry-message.test.ts	sha256:375b8630dc3646c479664325e5db590bfdd1ed4a703235ca9aab257edd99d6b9	11	regression: issue 6019 explicit provider retry messages › retries %s explicit retry guidance	openai	pending	unverified-case	proposal	next-regression-session-retry	-
packages/coding-agent/test/suite/regressions/6019-explicit-provider-retry-message.test.ts	sha256:375b8630dc3646c479664325e5db590bfdd1ed4a703235ca9aab257edd99d6b9	11	regression: issue 6019 explicit provider retry messages › retries %s explicit retry guidance	bedrock	pending	unverified-case	proposal	next-regression-session-retry	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	18	issue #6104 find relativizes root search paths › Windows drive root › preserves the first segment and emits one trailing slash for fd directory output		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	24	issue #6104 find relativizes root search paths › Windows drive root › handles fd output that uses forward slashes under a drive root		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	30	issue #6104 find relativizes root search paths › Windows drive root › keeps deeper search paths unchanged		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	34	issue #6104 find relativizes root search paths › Windows drive root › does not relativize a sibling directory that shares a name prefix		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	40	issue #6104 find relativizes root search paths › Windows drive root › normalizes relative custom-glob results without corrupting them		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	48	issue #6104 find relativizes root search paths › POSIX root › preserves the first segment for files under /		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	52	issue #6104 find relativizes root search paths › POSIX root › preserves the first segment and one trailing slash for directories under /		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	56	issue #6104 find relativizes root search paths › POSIX root › preserves backslashes in POSIX filenames		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	62	issue #6104 find relativizes root search paths › absolute results outside the search path › falls back to path.relative when the absolute paths do not share a prefix		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	68	issue #6104 find relativizes root search paths › absolute results outside the search path › keeps a trailing slash on directories resolved through path.relative		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6104-find-root-relativization.test.ts	sha256:5868521c64a301d49b018b82749f74b69bbe26c35a68122816398fbf7d33ea63	76	issue #6104 find relativizes root search paths › through the find tool › relativizes custom glob results against a root search path		pending	unverified-case	proposal	next-regression-find-paths	-
packages/coding-agent/test/suite/regressions/6162-extension-active-tools-next-turn.test.ts	sha256:8998c4abfe32e931a3b977cb586249b6501855fed762aea5aa283fe32c81d171	44	extension active tools next-turn refresh › applies pi.setActiveTools before the next provider request in the same run		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/6162-extension-active-tools-next-turn.test.ts	sha256:8998c4abfe32e931a3b977cb586249b6501855fed762aea5aa283fe32c81d171	73	extension active tools next-turn refresh › reports the refreshed system prompt during the run		pending	unverified-case	existing-task-reference	next-virtual-modules	-
packages/coding-agent/test/suite/regressions/6162-extension-active-tools-next-turn.test.ts	sha256:8998c4abfe32e931a3b977cb586249b6501855fed762aea5aa283fe32c81d171	102	extension active tools next-turn refresh › preserves before_agent_start system prompt overrides when tools change mid-run		pending	unverified-case	existing-task-reference	next-virtual-modules	-
